Horizont h,RW,OLS,Ridge,LASSO,LASSO Sel.,Elastic Net,EN Sel.
1,0.9398202868681739,3.403676099657038,1.9571048905493469,1.831236641248569,29,1.8454174979983342,34
3,1.8892727962376599,5.1094172507761195,3.4855407705407035,3.101281214897148,11,3.1831254130013966,13
6,2.8449061139082303,5.632652683970717,4.308298211065562,3.672920608167026,9,4.337246513769856,24
12,4.593447545021045,5.678443365723614,4.423511218399868,4.132954935695368,5,4.132954935695368,5
