,AR,LASSO+HVPI,LASSO,Ridge,Adaptive LASSO
2022-05-01,-0.6242443681870945,-2.546030361204085,-0.7265185406908912,-1.1883108107355134,0.43426084352070177
2022-06-01,-0.6411137810258098,-2.4412654379305114,-0.7211119787576158,-1.1680290957005586,0.3344423760315918
2022-07-01,-0.801662845020615,-2.490914298049157,-0.9830087443840052,-1.3151470191560934,-0.19829098611781334
2022-08-01,-0.8888088652682262,-2.4090475818917882,-0.9614416736910849,-1.269578109015182,-0.3523992159126904
2022-09-01,-1.2020421329405149,-2.539399750493349,-0.27402243376517366,-0.9103254201256951,0.5694471926942474
2022-10-01,-1.2025476499769974,-2.479332240681035,-0.3911720449876227,-1.0251100484850657,0.2617313993879672
2022-11-01,-1.7308022716727698,-1.9418271665513986,-0.22361481824471943,-0.7225874955851735,-0.502260530306149
2022-12-01,-2.0250683652241785,-0.22180559915174883,0.8508608530982066,0.5794738150778639,0.07551210600992253
2023-01-01,-1.9143104499252606,-0.28280674823984703,0.7897903617084983,0.5685165317862927,0.30811633382194986
2023-02-01,-1.888178320442416,-0.6082899818615517,0.4697411711137849,0.48234151035213313,0.24958853203532935
2023-03-01,-0.9548485455994525,0.4780345416600946,0.507631008691151,0.36326368694646743,0.36344939089499345
2023-04-01,-0.708776361596659,0.2977124749548339,0.68342823901051,1.3417835097415725,0.3544422829034006
2023-05-01,0.08213636011829464,1.0125406980117484,0.9232386744489866,1.7734656317505413,0.5330569116234052
2023-06-01,-0.42654352128438267,0.20398890844674517,0.6731875029837437,1.6552013651164523,0.5087830571672588
2023-07-01,-0.5109381873770228,0.03593032482320999,0.29777003798529134,0.3818769290747828,0.2679424864662156
2023-08-01,-0.4266018629677938,-0.29166674205998594,-0.21355892799128465,-0.19787858817746976,-0.14059143373177677
2023-12-01,0.8749847280182462,0.892878985017995,0.28878308216393644,0.4151504138204257,0.463531676131722
2024-01-01,0.9393571196313544,1.0040989049472109,0.44340176786709506,0.5103277301541238,0.7208518534179914
2024-03-01,1.065112013895698,1.1021649234643334,0.822281922562488,0.6406140991112008,1.2678264102311108
2024-04-01,0.981689095047222,0.676242158838136,0.09886779906127519,-0.09467213772981059,0.6427151309535367
2024-05-01,0.5969156682716481,0.511512731651444,-0.2908318704868915,-0.45237455653984426,0.18567095100990597
2024-06-01,0.6390857910579473,0.689216724069985,-0.381529295701241,-0.8356302768710455,-0.027691269133207852
2024-07-01,0.42457144095139215,0.2717226316823859,-0.9126047733356634,-1.2400607272639212,-0.4346216942380195
2024-09-01,0.5551909083846974,0.5187397550358024,-0.886242926499024,-1.1972953779374973,-0.4007405390982865
2024-10-01,0.10247324980600495,0.13870948942892972,-1.4091765440563173,-1.6965095089211033,-0.7845291245957448
